gene,pathway,entrez_id,dataset,correlation
UQCRC1,electron transport chain,7384,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.175872262
PRR30,,339779,"CRISPR (DepMap Public 24Q2+Score, Chronos)",-0.17583707
MRPL40,Mitochondrial protein translation,64976,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.175816191
GATC,,283459,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.175492908
MRPS18B,Mitochondrial protein translation,28973,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.175441208
OR1E2,,8388,"CRISPR (DepMap Public 24Q2+Score, Chronos)",-0.175376704
WBP1,,23559,"CRISPR (DepMap Public 24Q2+Score, Chronos)",-0.175332471
SLC35A4,,113829,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.175328002
MIPEP,,4285,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.174545347
PSG6,,5675,"CRISPR (DepMap Public 24Q2+Score, Chronos)",-0.173984826
PTPMT1,,114971,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.173807191
SDHB,TCA cycle,6390,"CRISPR (DepMap Public 24Q2+Score, Chronos)",0.173604365
CPAMD8,,27151,"CRISPR (DepMap Public 24Q2+Score, Chronos)",-0.173580046
OTULINL,,54491,"CRISPR (DepMap Public 24Q2+Score, Chronos)",-0.167256122
